id,unemp,wage,distance,region,avg_county_tuition
3803,6.199999809,8.090000153,0.200000003,other,0.8891500235
2694,6.199999809,8.090000153,0.200000003,other,0.8891500235
3586,6.199999809,8.090000153,0.200000003,other,0.8891500235
1732,6.199999809,8.090000153,0.200000003,other,0.8891500235
1233,5.599999905,8.090000153,0.400000006,other,0.8891500235
3876,5.599999905,8.090000153,0.400000006,other,0.8891500235
3595,7.199999809,8.850000381,0.400000006,other,0.8498799801
1339,7.199999809,8.850000381,0.400000006,other,0.8498799801
1463,5.900000095,8.090000153,3,other,0.8891500235
3448,5.900000095,8.090000153,3,other,0.8891500235
3364,5.900000095,8.090000153,3,other,0.8891500235
198,5.900000095,8.090000153,3,other,0.8891500235
4072,7.199999809,8.850000381,0.1000000015,other,0.8498799801
1026,7.199999809,8.850000381,0.1000000015,other,0.8498799801
4086,7.199999809,8.850000381,0.1000000015,other,0.8498799801
4383,7.199999809,8.850000381,0.1000000015,other,0.8498799801
3877,7.199999809,8.850000381,0.1000000015,other,0.8498799801
4465,7.199999809,8.850000381,0.1000000015,other,0.8498799801
492,7.199999809,8.850000381,0.1000000015,other,0.8498799801
4609,7.199999809,8.850000381,0.1000000015,other,0.8498799801
4522,7.699999809,7.039999962,0.5,other,0.9029999971
2803,7.699999809,7.039999962,0.5,other,0.9029999971
1732,7.699999809,7.039999962,0.5,other,0.9029999971
1547,7.699999809,7.039999962,0.5,other,0.9029999971
4462,7.699999809,7.039999962,0.5,other,0.9029999971
4595,5.400000095,8.850000381,0.8999999762,other,0.8498799801
2204,5.400000095,8.850000381,0.8999999762,other,0.8498799801
2213,5.099999905,8.850000381,0.5,other,0.8498799801
1598,5.099999905,8.850000381,0.5,other,0.8498799801
2595,5.099999905,8.850000381,0.5,other,0.8498799801
4019,5.099999905,8.850000381,0.5,other,0.8498799801
1517,5.099999905,8.850000381,0.5,other,0.8498799801
3138,5.099999905,8.850000381,0.5,other,0.8498799801
2721,5.099999905,8.850000381,0.5,other,0.8498799801
1059,5.099999905,8.850000381,0.5,other,0.8498799801
1943,5.400000095,8.850000381,0.200000003,other,0.8498799801
3185,5.400000095,8.850000381,0.200000003,other,0.8498799801
346,6.199999809,8.090000153,0.6000000238,other,0.8891500235
3147,6.199999809,8.090000153,0.6000000238,other,0.8891500235
3424,6.199999809,8.090000153,0.6000000238,other,0.8891500235
1781,6.199999809,8.090000153,0.6000000238,other,0.8891500235
228,6.199999809,8.090000153,0.6000000238,other,0.8891500235
1630,6.199999809,8.090000153,0.6000000238,other,0.8891500235
3351,6.199999809,8.090000153,0.6000000238,other,0.8891500235
1659,6.199999809,8.090000153,0.6000000238,other,0.8891500235
33,7.199999809,7.039999962,0.1000000015,other,0.9029999971
3413,7.199999809,7.039999962,0.1000000015,other,0.9029999971
4237,7.199999809,7.039999962,0.1000000015,other,0.9029999971
1990,7.199999809,7.039999962,0.1000000015,other,0.9029999971
2199,7.199999809,7.039999962,0.1000000015,other,0.9029999971
2971,7.199999809,7.039999962,0.1000000015,other,0.9029999971
4433,7.199999809,7.039999962,0.1000000015,other,0.9029999971
3957,7.199999809,7.039999962,0.1000000015,other,0.9029999971
2116,7.199999809,7.039999962,0.1000000015,other,0.9029999971
2158,5.400000095,8.850000381,0.1000000015,other,0.8498799801
2302,5.400000095,8.850000381,0.1000000015,other,0.8498799801
3115,5.400000095,8.850000381,0.1000000015,other,0.8498799801
639,5.400000095,8.850000381,0.1000000015,other,0.8498799801
1452,5.400000095,8.850000381,0.1000000015,other,0.8498799801
1089,5.400000095,8.850000381,0.1000000015,other,0.8498799801
901,5.5,8.090000153,1.5,other,0.8891500235
3270,5.5,8.090000153,1.5,other,0.8891500235
3689,5.5,8.090000153,1.5,other,0.8891500235
2555,5.5,8.090000153,1.5,other,0.8891500235
4426,5.5,8.090000153,1.5,other,0.8891500235
10,5.5,8.090000153,1.5,other,0.8891500235
3918,5.5,8.090000153,1.5,other,0.8891500235
3293,6.900000095,7.039999962,2,other,0.9029999971
3461,6.900000095,7.039999962,2,other,0.9029999971
2669,6.900000095,7.039999962,2,other,0.9029999971
4574,6.5,8.090000153,1.5,other,0.8891500235
1625,6.5,8.090000153,1.5,other,0.8891500235
2232,7.699999809,7.039999962,2,other,0.9029999971
4386,7.699999809,7.039999962,2,other,0.9029999971
4382,7.699999809,7.039999962,2,other,0.9029999971
4144,7.699999809,7.039999962,2,other,0.9029999971
4679,4.400000095,8.090000153,0.5,east,0.8891500235
1080,4.400000095,8.090000153,0.5,east,0.8891500235
3653,4.400000095,8.090000153,0.5,east,0.8891500235
3370,4.400000095,8.090000153,0.5,east,0.8891500235
2441,7.5,8.090000153,0.5,other,0.8891500235
461,7.5,8.090000153,0.5,other,0.8891500235
1883,7.5,8.090000153,0.5,other,0.8891500235
308,7.5,8.090000153,0.5,other,0.8891500235
2051,7.5,8.090000153,0.5,other,0.8891500235
3882,7.5,8.090000153,0.5,other,0.8891500235
1228,7.5,8.090000153,0.5,other,0.8891500235
2804,5.900000095,7.090000153,1.200000048,other,1.385680079
3823,5.900000095,7.090000153,1.200000048,other,1.385680079
244,5.900000095,7.090000153,1.200000048,other,1.385680079
867,5.900000095,7.090000153,1.200000048,other,1.385680079
2411,5.900000095,7.090000153,1.200000048,other,1.385680079
3075,5.900000095,7.090000153,1.200000048,other,1.385680079
2417,5.900000095,7.090000153,1.200000048,other,1.385680079
505,5.300000191,8.090000153,0.1000000015,other,0.8891500235
778,5.300000191,8.090000153,0.1000000015,other,0.8891500235
3258,5.300000191,8.090000153,0.1000000015,other,0.8891500235
